SMILES,MoleculeName
[Ir+4].[c-]1cccc2ccc3cccnc3c12.[c-]1cccc2ccc3cccnc3c12.c1cnc2c(c1)ccc1cccnc12,Ir(bzq)2(phen)+
[H]C(=O)c1ccnc(-c2cc(C)ccn2)c1.[Ir+4].[c-]1cccc2ccc3cccnc3c12.[c-]1cccc2ccc3cccnc3c12,Ir(bzq)2bpy-m-CHO+
Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1ccnc(-c2cc(C)ccn2)c1.[Ir+4],Ir(Cl-mppy)2(4-4'dmbpy)+
Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1ccnc2c1ccc1cccnc12.[Ir+4],Ir(Cl-mppy)2(4-Mephen)+
Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1ccc(-c2ccc(C)cn2)nc1.[Ir+4],"Ir(Cl-mppy)2(5,5'dmbpy)+"
Cc1cc2cccnc2c2ncccc12.Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.[Ir+4],Ir(Cl-mppy)2(5-Mephen)+
Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.[Ir+4].c1ccc(-c2ccccn2)nc1,Ir(Cl-mppy)2(bpy)+
C(=C\P(c1ccccc1)c1ccccc1)\P(c1ccccc1)c1ccccc1.Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.[Ir+4],Ir(Cl-Mppy)2(dppe)+
CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.[Ir+4],Ir(Cl-mppy)2(dtbbpy)+
Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C.[Ir+4],Ir(Cl-mppy)2(Me4phen)+
Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.Cc1ccc(-c2[c-]cc(Cl)cc2)nc1.[Ir+4].c1cnc2c(c1)ccc1cccnc12,Ir(Cl-mppy)2(phen)+
C[n+]1[c-]n(-c2[c-]cc(C#N)cc2)cc1.C[n+]1[c-]n(-c2[c-]cc(C#N)cc2)cc1.C[n+]1[c-]n(-c2[c-]cc(C#N)cc2)cc1.[Ir+4],Ir(CN-pmic)3
